horizon_step,physical_time,dense_mean_through_horizon_mean_field_mse,dense_mean_instantaneous_field_mse,dense_pointwise_ci95_lower,dense_pointwise_ci95_upper,sparse_mean_through_horizon_mean_field_mse,sparse_mean_instantaneous_field_mse,sparse_pointwise_ci95_lower,sparse_pointwise_ci95_upper,relative_reduction_of_arm_means,relative_reduction_pointwise_ci95_lower,relative_reduction_pointwise_ci95_upper
1,0.10000000000000001,0.13311585982640586,0.13311585982640586,0.12819474603980779,0.13816473367313545,0.11728953396280606,0.11728953396280606,0.11251517621179422,0.12292951320608456,0.11889136188759664,0.067640461423167486,0.15861285588880072
2,0.20000000000000001,0.12273938084642093,0.11236290186643601,0.1180307837203145,0.12759436317719519,0.10761611511309943,0.097942696263392776,0.10305495536575715,0.11301649622619152,0.12321445349512283,0.069821271665436266,0.164392221277807
3,0.30000000000000004,0.11444401285714574,0.097853276878595366,0.10991989915155702,0.11912498307310876,0.099937144004636339,0.084579201787710195,0.095563754867762321,0.10512397018157775,0.12675952625514397,0.071619049901318191,0.16906092379013382
4,0.40000000000000002,0.10764294806867838,0.087239753703276315,0.1032878831339379,0.11216821656251946,0.093681657314300532,0.074915197243293125,0.089481126433238384,0.098668792840714281,0.12970000362188394,0.073060521510874277,0.17297548206100183
5,0.5,0.10195014148950576,0.07917891517281532,0.097731348061313242,0.10631722658872604,0.088476874430974337,0.067657742897669487,0.084428394494578229,0.093288177176689108,0.13215545227976266,0.074278453784761736,0.17609276414279237
6,0.60000000000000009,0.097101318236026496,0.072857201968630145,0.093014006815954217,0.10133307025767863,0.084068580282231173,0.062027109538515403,0.080161778717819182,0.08871384380437021,0.1342179302047819,0.075426122746706889,0.17875728199868735
7,0.70000000000000007,0.092908074334263804,0.067748610923687627,0.088952467917420314,0.097015712274504562,0.080276996074687856,0.057527490829428027,0.076501561786890757,0.084776987153149783,0.13595242770969473,0.076415542641234735,0.18098224947610525
8,0.80000000000000004,0.089234389162932831,0.063518592963616047,0.085395186809667692,0.093226167608130114,0.076973478589206931,0.0538488561908404,0.073314899503796674,0.081330423353938378,0.13740118231031684,0.077271156321144827,0.18276248091443076
9,0.90000000000000002,0.085979999643233079,0.059944883485635127,0.082263291972102942,0.089857912044627231,0.074063516201244461,0.050783817097544669,0.070519749599474449,0.078295085688156116,0.13859599315463,0.07793991811107108,0.18414139928495751
10,1,0.08306873307873805,0.05686733399828274,0.079455308144291248,0.086841127687133854,0.07147522913912932,0.048180645580093065,0.068041468767138819,0.0755831124543523,0.13956519510920717,0.0785124577205214,0.18526316756903216
11,1.1000000000000001,0.080443152424060943,0.054187345877289773,0.076932355122866503,0.084106843507368925,0.069154529510573909,0.045947533225019779,0.065817540513746664,0.073141586341415391,0.14033043923960586,0.078943976415631834,0.18603556666845755
12,1.2000000000000002,0.078061913543691241,0.051868285859624552,0.074657637579107844,0.081630730151147066,0.067062152290923729,0.044046002874771756,0.063815028938050911,0.070937163310849843,0.14091073038596402,0.079454383269774678,0.18654017641168388
13,1.3,0.07589133741954962,0.049844423929850258,0.072580667178456973,0.079370616993460916,0.065166046164738839,0.042412772650520007,0.062006139113591638,0.068937346210034611,0.14132431473065521,0.079872493444296075,0.18678525915291824
14,1.4000000000000001,0.07390441966376135,0.048074488838513695,0.070685181060051977,0.077293306178457699,0.063440606264131422,0.041009887556234997,0.06036242338762219,0.067111263258515727,0.14158575965059372,0.080298561248375117,0.1867893945353449
15,1.5,0.07207875471976069,0.046519445503751436,0.068940181268586059,0.075386973530261067,0.061864344105124466,0.039796673879027369,0.058859650468039836,0.065443235604299432,0.14171180751317702,0.080455849194079429,0.18661449487039736
16,1.6000000000000001,0.070397041062824434,0.045171336208780603,0.067338628046369794,0.073626151556381969,0.060420564903567245,0.038763876880208652,0.057489009847631681,0.063913843190918362,0.14171726550770625,0.080765834082722698,0.18630532553121371
17,1.7000000000000002,0.068845080467415803,0.044013710940877596,0.065861075694362337,0.072001823498045708,0.059095584637686313,0.037895900383591655,0.05623143796882063,0.062502612292803086,0.14161499650427312,0.08099116825497911,0.18585051506261874
18,1.8,0.06741097739173306,0.043031225105126698,0.064492846586120617,0.07049443373042677,0.057877864999075726,0.037176631142695746,0.055074574287842827,0.061209429621489515,0.14141780406563909,0.081210578464999822,0.18524833555589748
