row_id,family,endpoint,contrast,baseline_policy,comparison_policy,baseline_mean_mse,comparison_mean_mse,relative_reduction,ci95_lower,ci95_upper,one_sided_p,wins_out_of_10,inference_role,status
selected_sparse_vs_dense_h200,sparse_vs_dense,H200 cumulative field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.051297553388113849,0.048367342241384857,0.057121849936179414,0.019193708452581719,0.090382226432526594,0.0126953125,8,confirmatory_selection_aware_primary,available_selection_aware
direct_sparse_vs_dense_h200,sparse_vs_dense,H200 cumulative field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.051297553388113849,0.048367342241384857,0.057121849936179414,0.019193708452581719,0.090382226432526594,0.0126953125,8,mandatory_unadjusted_descriptive_sensitivity,available_descriptive
selected_sparse_vs_dense_h400,sparse_vs_dense,H400 cumulative field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.074158301957562123,0.070383006758637401,0.050908598218513346,0.0068017910550186144,0.089529032700748551,0.0302734375,8,selection_aware_h400_durability,available_selection_aware
direct_sparse_vs_dense_h400,sparse_vs_dense,H400 cumulative field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.074158301957562123,0.070383006758637401,0.050908598218513346,0.0072281562719794306,0.089579231298509671,0.0302734375,8,mandatory_unadjusted_descriptive_sensitivity,available_descriptive
selected_sparse_vs_dense_h201_h400,sparse_vs_dense,H201--H400 tail field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.097019050527010375,0.092398671275889938,0.047623422678560567,-0.00298661838744656,0.091015659914290392,0.0498046875,8,selection_aware_h400_durability,available_selection_aware
direct_sparse_vs_dense_h201_h400,sparse_vs_dense,H201--H400 tail field MSE,one minus sparse-over-dense recipe MSE,dense@direct,sparse@direct,0.097019050527010375,0.092398671275889938,0.047623422678560567,-0.0032824387642548134,0.091014340571693775,0.0498046875,8,mandatory_unadjusted_descriptive_sensitivity,available_descriptive
dense_selected_vs_direct_h200,selected_vs_direct,H200 cumulative field MSE,one minus validation-selected-over-direct dense MSE,dense@direct,dense@direct,0.051297553388113849,0.051297553388113849,0,0,0,,0,selection_aware_selector_rerun_bootstrap,available_selection_aware
sparse_selected_vs_direct_h200,selected_vs_direct,H200 cumulative field MSE,one minus validation-selected-over-direct sparse MSE,sparse@direct,sparse@direct,0.048367342241384857,0.048367342241384857,0,0,0,,0,selection_aware_selector_rerun_bootstrap,available_selection_aware
dense_selected_vs_direct_h201_h400,selected_vs_direct,H201--H400 tail field MSE,one minus validation-selected-over-direct dense MSE,dense@direct,dense@direct,0.097019050527010375,0.097019050527010375,0,0,0,,0,selection_aware_selector_rerun_bootstrap,available_selection_aware
sparse_selected_vs_direct_h201_h400,selected_vs_direct,H201--H400 tail field MSE,one minus validation-selected-over-direct sparse MSE,sparse@direct,sparse@direct,0.092398671275889938,0.092398671275889938,0,0,0,,0,selection_aware_selector_rerun_bootstrap,available_selection_aware
