model,seed,horizon,physical_time,field_mse,final_field_mse,relative_rmse,final_relative_rmse,persistence_field_mse,persistence_final_field_mse,pixel_basin_mean_iou,same_horizon_modal_basin_consistency
direct,11,1,0.1,0.0010486444225534797,0.0010486444225534797,0.5655852673529965,0.5655852673529965,0.0032781745539978147,0.0032781745539978147,0.9896178342678296,0.98046875
direct,11,5,0.5,0.002793306577950716,0.003607685794122517,0.3931845183331198,0.3273978068964106,0.018068653345108033,0.03365713730454445,0.9653999862015812,0.98046875
direct,11,10,1.0,0.0029768080450594423,0.002921906649135053,0.28216330966967895,0.20163615073059718,0.03738950788974762,0.07186700403690338,0.957455546889726,0.96875
direct,11,20,2.0,0.002974395360797644,0.003122239257209003,0.1979145552551457,0.14430901393973383,0.07593521475791931,0.1499267965555191,0.9562587272217294,0.96875
direct,11,40,4.0,0.003594807721674442,0.005502202548086643,0.15274878195163724,0.1346839184182365,0.15407073497772217,0.30332282185554504,0.9527337121495045,0.9609375
direct,11,80,8.0,0.005974607728421688,0.01102855708450079,0.14501876896229016,0.1499084047533598,0.2840932846069336,0.4907572567462921,0.9510579408945227,0.96875
direct,11,120,12.0,0.00818634033203125,0.014680097810924053,0.14930263888883533,0.1615406024349659,0.3672441005706787,0.562555730342865,0.9474317774645655,0.95703125
direct,11,160,16.0,0.010580312460660934,0.021127319894731045,0.15864975376864393,0.18889333373814726,0.4203583598136902,0.5921219289302826,0.940050197460516,0.9609375
direct,11,200,20.0,0.0137034672498703,0.03122759237885475,0.17325801276568337,0.22646491911824648,0.45650318145751956,0.6088868975639343,0.9291353657160191,0.95703125
direct,12,1,0.1,0.0012329988530837,0.0012329988530837,0.6132891746277274,0.6132891746277274,0.0032781745539978147,0.0032781745539978147,0.9891420273370375,0.984375
direct,12,5,0.5,0.0036496326327323915,0.00503902230411768,0.4494296108047346,0.38693191530281434,0.018068653345108033,0.03365713730454445,0.9615818797200382,0.97265625
direct,12,10,1.0,0.0042065057903528215,0.0044947476126253605,0.3354176184149366,0.25008513891520107,0.03738950788974762,0.07186700403690338,0.9497186825886961,0.98046875
direct,12,20,2.0,0.004342899471521377,0.004744065459817648,0.23914883825920474,0.17788351625206344,0.07593521475791931,0.1499267965555191,0.94057311553143,0.97265625
direct,12,40,4.0,0.0053920488804578785,0.00830030394718051,0.1870754648792041,0.16542245209608292,0.15407073497772217,0.30332282185554504,0.9336542929345724,0.953125
direct,12,80,8.0,0.009310871735215187,0.01784716732800007,0.18103589273354856,0.19070025889206837,0.2840932846069336,0.4907572567462921,0.9253701340665085,0.94921875
direct,12,120,12.0,0.013558875521024067,0.026628215797245502,0.19214736042569705,0.2175646124701554,0.3672441005706787,0.562555730342865,0.9169800081455938,0.96484375
direct,12,160,16.0,0.01824987828731537,0.038083601742982864,0.20836277932211886,0.25360828362011945,0.4203583598136902,0.5921219289302826,0.9027631844418282,0.96484375
direct,12,200,20.0,0.023671880960464478,0.052580393850803375,0.2277164893734742,0.29386211707380544,0.45650318145751956,0.6088868975639343,0.8861716755945697,0.9453125
direct,13,1,0.1,0.0009318991797044873,0.0009318991797044873,0.5331733422309906,0.5331733422309906,0.0032781745539978147,0.0032781745539978147,0.9896578527656646,0.98046875
