model,seed,scope,slice,trajectory_transfer_coverage,state_transfer_coverage,num_trajectories,num_families,h_basin_given_family,h_family_given_basin,normalized_h_basin_given_family,normalized_h_family_given_basin,purity,nmi,ari,mean_state_to_rep_jaccard
dense,11,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9955406086332422
dense,11,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9955406086332422
dense,11,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.995425353250289
dense,11,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.995425353250289
dense,12,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9972705841064453
dense,12,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9972705841064453
dense,12,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9972464139344263
dense,12,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9972464139344263
dense,13,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9965934613651337
dense,13,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9965934613651337
dense,13,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9967621349897541
dense,13,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9967621349897541
dense,14,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9961795806884766
dense,14,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9961795806884766
dense,14,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9957775678790983
dense,14,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9957775678790983
dense,15,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9954109070672235
dense,15,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9954109070672235
dense,15,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9952812722232754
dense,15,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9952812722232754
dense,16,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9963149819258974
dense,16,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9963149819258974
dense,16,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9961097239931961
dense,16,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9961097239931961
dense,17,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9972896575927734
dense,17,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9972896575927734
dense,17,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9974425268954918
dense,17,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9974425268954918
dense,18,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9961735651326518
dense,18,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9961735651326518
dense,18,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.996945674025288
dense,18,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.996945674025288
dense,19,final,all_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9982051849365234
dense,19,final,covered_test,1.0,1.0,256,1,1.3657402418354412,0.0,1.0,0.0,0.31640625,0.0,0.0,0.9982051849365234
dense,19,final,deep_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9982950179303278
dense,19,final,deep_covered_test,1.0,1.0,122,1,1.3767165770386773,0.0,1.0,0.0,0.28688524590163933,0.0,0.0,0.9982950179303278
