arm,seed,task_id,checkpoint_sha256,checkpoint_authenticated,checkpoint_validation_passed,selector_horizon_steps,selector_rollout,selector_joint_finite_count,selector_trajectory_count,selector_final_error,status,law_valid,kink_complete_seed_pass,joint_h_g_seed_pass,h_only_seed_pass,g_only_seed_pass,h_global_positive_control_pass,direct_closure_valid,dense_secondary_closure_valid,family_valid,discovered_family_count,matched_family_count,matched_support_cardinalities,verification_point_counts_by_basin,h_identity_unique,h_max_own_relative_error,h_max_own_over_nearest_wrong,h_identity_over_best_nonidentity,h_observed_over_null_median,g_identity_unique,g_max_own_relative_error,g_max_own_over_nearest_wrong,g_identity_over_best_nonidentity,g_observed_over_null_median,closure_per_seed_pass,closure_counts_toward_aggregate,closure_observed_max,closure_median_null_max,closure_observed_over_null_median,failure_reasons
sparse,100,0,6e044f8e450022d0d4c312bc157450bc8fa397c1cd05814220e8abfd229baabc,True,True,200,every_step_physical_reencoding,16,16,0.05153806880116463,eligible,True,True,False,False,False,False,True,,True,4,3,"[84,86,80]","[256,256,256]",True,2.4733891772195835,1.081946632425966,0.9886845965350063,0.985168945205628,True,0.48015795233563957,0.4871310002029525,0.49367357280116897,0.442921923207614,False,False,0.5637325238021504,0.8315055094408967,0.6779660716634379,
sparse,101,1,e29b2ea1a92fc32a2a613e74851e5c539e50afd17b7cbf7b734731a09bcc52a5,True,True,200,every_step_physical_reencoding,16,16,0.05894088000059128,eligible,True,True,False,False,False,False,True,,True,3,3,"[94,95,98]","[256,256,256]",False,2.781130539281902,1.2325058484568696,1.0646165786998838,1.0620726668585898,True,0.6002818815690413,0.5046742731655648,0.5246160447200132,0.5005712232754614,True,True,0.3833096615512636,0.8137582788774247,0.47103626654347197,
sparse,102,2,6f2de77eccf901910acb842ace81eecc49b0d540e5d80f9a6b5d1691741f8e37,True,True,200,every_step_physical_reencoding,16,16,0.06035812944173813,eligible,True,False,False,False,False,False,True,,True,5,3,"[82,83,78]","[256,256,256]",True,7.862236697136677,1.2301252092305819,0.9856599749135094,0.9836954634570081,True,1.105933000401341,0.6506482258822687,0.5949592582399912,0.5434606139037426,True,False,0.46435272654502124,0.8422868092542257,0.5513000102140584,
sparse,103,3,98c4871666c3ed4a5edf5cee8564fece5c663f6bd9bace1e70253b998e1f3e85,True,True,200,every_step_physical_reencoding,16,16,0.052586108446121216,eligible,True,True,False,False,False,False,True,,True,4,3,"[83,92,79]","[256,256,256]",False,3.227608890241901,1.3420717799068715,1.0806472654509622,1.0791209800247152,True,0.2737909097361059,0.42261975067740953,0.5007365612701768,0.4672519409299982,True,True,0.47267805977033667,0.8396276731102792,0.5629615065203475,
sparse,104,4,be92692ba199c9ce88d0a27d1f6ef18a65a59e4201f51a46668d37a71e23d8f0,True,True,200,every_step_physical_reencoding,16,16,0.04655551165342331,eligible,True,True,False,False,False,False,True,,True,5,3,"[90,82,76]","[256,256,256]",False,3.019127985299675,1.4843222217496437,1.065810703203788,1.063659014412447,True,0.24190479124952927,0.3981015645926409,0.4287435886735234,0.4067119195160775,True,True,0.4149556955364177,0.8450412752081911,0.4910478431177056,
sparse,105,5,5e3a315c6cc8fd382e53a2fb03cfc54fa1bf63d57d98e282547bbdfa528d16ad,True,True,200,every_step_physical_reencoding,16,16,0.05714994668960571,eligible,True,False,False,False,False,False,True,,True,4,3,"[85,92,77]","[256,256,256]",False,4.059938611861106,4.911557702564137,1.1834500440644309,1.179375402777481,True,0.7709587814345459,0.9108956164828039,0.6374684730901113,0.5885706925049602,True,False,0.45747938279126527,0.8355526691485369,0.5475171101511241,
sparse,106,6,c6ff3e6901933133783ca4c441f278b0c0150a111a4eb5dc433fc48d48db6978,True,True,200,every_step_physical_reencoding,16,16,0.03392733633518219,eligible,True,False,False,False,False,False,True,,True,4,3,"[87,91,77]","[256,256,256]",True,1.1858791928348613,1.1754131859070582,0.8834822187422327,0.8827287680741583,True,0.7679886060817794,0.8343760348359588,0.5758485395032098,0.5480459521817383,False,False,0.5257971689208185,0.8324977604420261,0.631589889973565,
sparse,107,7,8a051946675b864211e908d807155fcb38df709fbdf1c2236fd86ae8fb588bda,True,True,200,every_step_physical_reencoding,16,16,0.06826204806566238,eligible,True,False,False,False,False,False,True,,True,5,3,"[83,91,88]","[256,256,256]",True,1.5610465995851415,0.8295460691093391,0.8579239680078808,0.8557774560919644,True,0.3734306688190513,0.46926988667719194,0.46378191417647047,0.4333415708723018,True,False,0.4076103354370794,0.8316628982333283,0.49011484857981696,
sparse,108,8,595eec7db70dc8ece26185ef50232f5d8dc0f55293de52b7e747868241209624,True,True,200,every_step_physical_reencoding,16,16,0.04611247777938843,eligible,True,True,False,False,False,False,True,,True,6,3,"[87,80,73]","[256,256,256]",False,2.214877238825653,1.2765401523080273,1.0831227292435306,1.0794125641360979,True,0.2921375019990295,0.5213125276776065,0.5323340765746722,0.4877984316905597,True,True,0.4718862072084958,0.8514903419581981,0.5541885608746716,
sparse,109,9,56b6e94644ca30fc4c78edb1dfbc34b06097765aeabb292e9af2d7494db62b59,True,True,200,every_step_physical_reencoding,16,16,0.04089788720011711,eligible,True,True,False,False,False,False,True,,True,3,3,"[83,90,73]","[256,256,256]",False,2.7509829647345696,1.113716973602583,1.0493368714246436,1.0466444830352384,True,0.6541288217976831,0.7099731423731733,0.5859713461224486,0.5636802685278255,True,True,0.46761543596016175,0.8378139949725515,0.5581375326339372,
dense,100,10,dbbabe898299b883f8494e56afac20f4e666902be890d5203211c4c3efe2c1d4,True,True,200,every_step_physical_reencoding,16,16,0.0669511929154396,eligible,True,True,False,False,False,True,True,True,True,4,3,"[84,86,80]","[256,256,256]",False,21.09335016461544,1.0078468473689408,1.0004268196575221,0.9999364175014245,True,0.979499183096232,1.4895951063204402,0.9980270803258546,0.9887042659462874,False,False,0.8874269277136496,0.8299083621706747,1.069307128551557,
dense,101,11,e7dbd71a7502d40266d9425271d38a9d7bbef29383b9f4b072387ccd6bb21396,True,True,200,every_step_physical_reencoding,16,16,0.16250790655612946,eligible,True,True,False,False,False,True,True,True,True,3,3,"[94,95,98]","[256,256,256]",False,19.78142890658524,1.0081695491845732,1.000375104167165,1.0000942459472395,True,0.9676016652127489,1.4337859243561646,0.991561288947904,0.9800583514672851,False,False,0.839878432275533,0.8057384664934124,1.0423710263340142,
dense,102,12,7089a933c6c6d9cbe374189c716ca5a2c127e274a012a141ce0a2cd80ec5ebbf,True,True,200,every_step_physical_reencoding,16,16,0.13973993062973022,eligible,True,True,False,False,False,True,True,True,True,5,3,"[82,83,78]","[256,256,256]",False,21.081321290574078,1.0073300552754927,1.00011434760845,0.999875651640169,True,0.9847538875282676,1.4506822593740418,0.9992880009259562,0.9826942455814855,False,False,0.896704371739328,0.8289195228333825,1.0817749456234855,
dense,103,13,9ffd44046b02e30340fb24a094f2359ec5007862bf64133051e25c10688d12fa,True,True,200,every_step_physical_reencoding,16,16,0.2258523404598236,eligible,True,True,False,False,False,True,True,True,True,4,3,"[83,92,79]","[256,256,256]",False,18.218051934429266,1.0106514356824654,1.0018675023821386,1.001500375448627,True,0.9911985432506366,1.3445801400192314,0.9704957420431822,0.9599245089427552,False,False,0.8709526636826858,0.8307665879355302,1.0483722820955266,
dense,104,14,0f17a99db95d64f41c32f373351c04decc4a2a33008b48c09d41ef42dabbf550,True,True,200,every_step_physical_reencoding,16,16,0.11319378763437271,eligible,True,True,False,False,False,True,True,True,True,5,3,"[90,82,76]","[256,256,256]",False,21.130096494054808,1.0074933864995788,1.0005367679233297,1.0002246369279122,True,0.9732637120414189,1.4636128890218063,0.9941504088312383,0.9800703984557536,False,False,0.8764072868583653,0.8307212665463296,1.0549956070126536,
dense,105,15,ccff971382a544d58a5c4887cd421afa9745f0916d94fabacd8560c566d74c67,True,True,200,every_step_physical_reencoding,16,16,0.15267926454544067,eligible,True,True,False,False,False,True,True,True,True,4,3,"[85,92,77]","[256,256,256]",True,21.559273048000893,1.0070240956359078,0.9999220372687717,0.9993310158374831,True,0.9832092741190709,1.4679199330203379,0.9998323709597531,0.9862519333395703,False,False,0.8704246106463839,0.8343179731771209,1.0432768304532232,
