system_key,system_name,run_count,eligible_seed_count,system_eligible,current_coverage,transition_count,activity_leakage_true,activity_leakage_null,activity_leakage_true_over_null,matrix_leakage_true,matrix_leakage_null,matrix_leakage_true_over_null,activity_change_leakage_true,activity_change_leakage_null,activity_change_leakage_true_over_null,matrix_change_leakage_true,matrix_change_leakage_null,matrix_change_leakage_true_over_null,restricted_inside_residual_true,restricted_inside_residual_null,restricted_inside_residual_true_over_null,encoded_next_outside_true,encoded_next_outside_null,encoded_next_outside_true_over_null,global_over_identity_true,global_over_identity_null,global_over_identity_true_over_null,operator_distance_true,operator_distance_null,operator_distance_true_over_null
claude:arrested_spiral,claude_arrested_spiral,3,3,True,0.9459228515625,7749.0,0.005613526894912318,0.18234912227217487,0.02685612316769918,0.052976732519402776,0.19890464378118164,0.23131193622042448,0.33819367830086117,0.7803962679426406,0.4333614756929085,0.48754595977716625,0.7786257428678134,0.6321071762020956,0.011159936993143268,0.15523598873187344,0.07189014019435225,0.10880099446891638,0.10880099446891638,1.0,0.6271989488702922,17.778022007104852,0.041420005464824175,0.964488885156813,0.9716280612244447,0.9926523570566345
claude:cal_asymmetric_3,claude_cal_asymmetric_3,3,3,True,0.97265625,7968.0,0.004639734527248449,0.09801629966327967,0.04687121909758913,0.02298775629871824,0.10030535392479209,0.24669751179161964,0.37810272949936835,0.7540681343941155,0.5034042797564062,0.5049154845497628,0.755565591930067,0.6475533464566423,0.011721789815915672,0.09338338614360668,0.12552328952700095,0.05246239499659567,0.05246239499659567,1.0,0.8534474761189137,9.854377314334865,0.0912728681778419,0.950035864361881,0.9520149419616418,0.9965453915420504
claude:cal_hexagon_6,claude_cal_hexagon_6,3,3,True,0.9444580078125,7737.0,0.005257604409071645,0.23952481778972526,0.02176417584487118,0.056003071857859237,0.24196275575878856,0.23145327338596033,0.3550256546422699,0.7909944250010059,0.4467090477705042,0.5509283540110936,0.791988154560242,0.699185907524442,0.00999143481728126,0.18573558839742785,0.05927166787285569,0.13516502040065262,0.13516502040065262,1.0,0.583309893236483,23.702784553688787,0.024609340388477875,0.9799479072783193,0.9901179431680407,0.9894828520621118
claude:cal_high_cross_3,claude_cal_high_cross_3,3,3,True,0.966552734375,7918.0,0.005455109938564479,0.12002638734256926,0.045449255445762615,0.028050835834369202,0.12434241859877325,0.2260776787290443,0.3152089223922388,0.7639648253009583,0.4109735801041517,0.5697276770935723,0.7722903273470679,0.7377117865125562,0.014991708744369286,0.10304686531355682,0.14548437450039522,0.043739464388193795,0.043739464388193795,1.0,0.8634115564257181,8.661751632906025,0.09968094134050376,0.9062310532260578,0.9115927411599352,0.9941183297191957
claude:cal_octagon_8,claude_cal_octagon_8,3,3,True,0.9615478515625,7877.0,0.005434223695553724,0.20654095649439785,0.027067793721351246,0.05716572283580941,0.2079999275070209,0.2823077243311036,0.4024098440748037,0.766931422695097,0.5340574030406466,0.5736721519391237,0.769347193827356,0.7362099754666029,0.011628439833372087,0.17733363902495408,0.06082353046800624,0.09011746122694599,0.09011746122694596,1.0,0.8833837399400282,24.623527850958766,0.035875596108200715,0.947805020772318,0.9590613153787364,0.9931784193711494
claude:cal_pentagon_5,claude_cal_pentagon_5,3,3,True,0.972412109375,7966.0,0.003887809193056109,0.2198831332356525,0.01694270845876841,0.05381486855544018,0.23455148344736182,0.2399255482792354,0.33119677504453104,0.7947302435388295,0.41948522887583767,0.5540967915167561,0.794922570311341,0.6921947695312708,0.007287245572957959,0.17131755926595982,0.0438811796691161,0.02797607581308373,0.027976075813083735,1.0,0.5219514875154669,20.52131559150599,0.025434601655437174,0.9682724249005416,0.977199851561911,0.9904761192981764
claude:cal_square_4,claude_cal_square_4,3,3,True,0.97314453125,7972.0,0.004675625744925109,0.23352465367460565,0.018935447498526718,0.06104265636223304,0.2326329464596849,0.25308174667597294,0.3480355877473473,0.7742642656671397,0.4551447408814695,0.5030760953709794,0.773607721644253,0.6397471681962531,0.01055680713496464,0.19466448910204542,0.05063632555851931,0.034105446002775465,0.034105446002775465,1.0,0.6963280108322617,20.434172368482457,0.03481290692290117,0.9880661828728009,0.9973747779564214,0.9906669034656226
claude:duffing_triple_well,claude_duffing_triple_well,3,3,True,0.982666015625,8050.0,0.005250702494920803,0.2170209834746738,0.023791440898516227,0.033134569969527516,0.20738617170699436,0.16638203221499545,0.215106561789932,0.7871476214589861,0.2733372346885423,0.6125692040583178,0.7895080246573494,0.7847419839730092,0.008939112268277025,0.172861825579129,0.05103490859808585,0.09946242913980442,0.09946242913980442,1.0,0.27254525338844726,10.103010794549592,0.028643506213815242,0.9548949060555241,0.9634329661090055,0.9917551060106397
claude:snic_multi,claude_snic_multi,3,3,True,0.935791015625,7666.0,0.0035076463375570597,0.17666023416139257,0.01982622154410525,0.027334524500497517,0.15276630467592167,0.17599030313585237,0.33350128371132814,0.8019256488217456,0.41587556677023035,0.6423055895450447,0.80615132696178,0.8075976246019605,0.006619685132594314,0.12202239400739542,0.054249756255340426,0.061776056135141894,0.06177605613514189,1.0,0.482252062228698,18.709468879345437,0.02931138846797512,1.006573584556845,1.011453463967093,0.9945013075348693
claude:transition_routes_4,claude_transition_routes_4,3,3,True,0.995361328125,8154.0,0.0035243968302991332,0.15308522877759778,0.02287350967340598,0.04315396859858307,0.16060199231461125,0.280606516867016,0.313156599622923,0.7961962553600993,0.39331584080521736,0.6071951001610454,0.7998715855122669,0.7640113419461612,0.006010267218908373,0.11490444709229405,0.05325424019276353,0.04185953108299646,0.04185953108299646,1.0,0.4845266474434801,15.777192371129203,0.031078495336103823,1.025016893850708,1.0297799000509071,0.9953747337659594
claude:var_depth_gradient_4,claude_var_depth_gradient_4,3,3,True,0.96533203125,7908.0,0.004806568205457783,0.22724698789821787,0.018633089369064916,0.06346326475211281,0.24322451572940249,0.2711157908751416,0.3545527249960672,0.7757376386859137,0.4472478271103573,0.5446871696288225,0.7834293220886429,0.6907644623121895,0.010244314824154653,0.19038181295590617,0.051955314371839305,0.04190606434571472,0.04190606434571472,1.0,0.7428802537662567,19.908039649709863,0.03358600076603325,0.9454642595482622,0.9591507895542211,0.9916884258714522
claude:var_diamond_4,claude_var_diamond_4,3,3,True,0.971435546875,7958.0,0.003911379794015105,0.20891401079197341,0.018563320812923865,0.05827183774493752,0.21079577124441717,0.2812095557720476,0.27500519022235026,0.7982786667853199,0.3483793578145832,0.5481105812384666,0.7906776929689898,0.6932161943007583,0.008111292728419843,0.16134898812452342,0.05027172976232014,0.03172510042579146,0.03172510042579146,1.0,0.5559401846062276,18.465759521170835,0.030164997417757064,1.0087439066710706,1.0162359651661417,0.9926276389028937
claude:var_l_shape_5,claude_var_l_shape_5,3,3,True,0.9659423828125,7913.0,0.004983403638179953,0.21305219248963186,0.022294791176291174,0.05632883922356481,0.22324321294266786,0.2523205005028793,0.3409614502288718,0.7771383056010435,0.4342416558420097,0.5399468707527554,0.7826316189000335,0.6895323910955712,0.009271812438114794,0.17147673406023037,0.05245697215783389,0.09012447238196795,0.09012447238196795,1.0,0.5641217541522378,17.471952331509222,0.031293763424482146,0.9740931386593823,0.9829592051270675,0.9905926870309074
gated_local_linear,gated_local_linear,3,3,True,0.985107421875,8070.0,0.00261575240711254,0.18851316793389428,0.011419587386402173,0.037987646262678074,0.19489883610920344,0.17207284198279615,0.28391352257632935,0.8070476809129646,0.35179274941370875,0.6485325960926003,0.8068808847405966,0.787174417141065,0.004524514695356728,0.13087113368171555,0.02513298075887402,0.04207294793351937,0.04207294793351937,1.0,0.37488645043892377,26.617684140905027,0.014084112218568737,1.0256363404555549,1.036360860282248,0.9929789590704688
gated_transfer_linear,gated_transfer_linear,3,3,True,0.94384765625,7732.0,0.004531892269859163,0.19138610168267334,0.02554954224592273,0.0537630350480937,0.211946568012588,0.1940794245486271,0.49759257776074634,0.7829617267149522,0.6346359969058948,0.6376098520343522,0.7806387236064893,0.8169591107179699,0.011085488004645115,0.16459492860944275,0.06735011885420354,0.07198042503730588,0.07198042503730588,1.0,0.8784601768071811,19.43452497789042,0.045201010974364256,0.9857021234961947,1.0001648945094712,0.9936643779032721
