model,seed,horizon,nrmse,physical_time,latent_active_density_1e4
dense_mlp_tanh_exact,0,1,0.2807038817096467,0.05,0.999573826789856
dense_mlp_tanh_exact,0,5,0.5621048453240447,0.25,0.999573826789856
dense_mlp_tanh_exact,0,10,0.6970879083329026,0.5,0.999573826789856
dense_mlp_tanh_exact,0,25,0.8137617519768046,1.25,0.999573826789856
dense_mlp_tanh_exact,0,50,0.9487327293436103,2.5,0.999573826789856
dense_mlp_tanh_exact,0,100,1.2892235114971125,5.0,0.999573826789856
dense_mlp_tanh_exact,1,1,0.2719329973603902,0.05,0.999537706375122
dense_mlp_tanh_exact,1,5,0.5605035987579898,0.25,0.999537706375122
dense_mlp_tanh_exact,1,10,0.6960101886784089,0.5,0.999537706375122
dense_mlp_tanh_exact,1,25,0.812979579223214,1.25,0.999537706375122
dense_mlp_tanh_exact,1,50,0.9635732844254572,2.5,0.999537706375122
dense_mlp_tanh_exact,1,100,1.3333091619045934,5.0,0.999537706375122
dense_mlp_tanh_exact,2,1,0.2963167819225846,0.05,0.9996063113212584
dense_mlp_tanh_exact,2,5,0.5652864401260241,0.25,0.9996063113212584
dense_mlp_tanh_exact,2,10,0.6974169049689329,0.5,0.9996063113212584
dense_mlp_tanh_exact,2,25,0.8140471216675661,1.25,0.9996063113212584
dense_mlp_tanh_exact,2,50,0.9620491254997796,2.5,0.9996063113212584
dense_mlp_tanh_exact,2,100,1.274298744666122,5.0,0.9996063113212584
dense_mlp_tanh_exact,3,1,0.2681923103193447,0.05,0.9995510578155518
dense_mlp_tanh_exact,3,5,0.5559589484945576,0.25,0.9995510578155518
dense_mlp_tanh_exact,3,10,0.6932238840820016,0.5,0.9995510578155518
dense_mlp_tanh_exact,3,25,0.811225472396842,1.25,0.9995510578155518
dense_mlp_tanh_exact,3,50,0.9550373758387256,2.5,0.9995510578155518
dense_mlp_tanh_exact,3,100,1.336114422333312,5.0,0.9995510578155518
dense_mlp_tanh_exact,4,1,0.2768376923799254,0.05,0.9995703101158142
dense_mlp_tanh_exact,4,5,0.5584420236415774,0.25,0.9995703101158142
dense_mlp_tanh_exact,4,10,0.6941034506484196,0.5,0.9995703101158142
dense_mlp_tanh_exact,4,25,0.8114809101479074,1.25,0.9995703101158142
dense_mlp_tanh_exact,4,50,0.9611477411242829,2.5,0.9995703101158142
dense_mlp_tanh_exact,4,100,1.3323258954986106,5.0,0.9995703101158142
dense_mlp_tanh_exact,5,1,0.28823292992312527,0.05,0.9995805025100708
dense_mlp_tanh_exact,5,5,0.561500339207075,0.25,0.9995805025100708
dense_mlp_tanh_exact,5,10,0.6955756603823411,0.5,0.9995805025100708
dense_mlp_tanh_exact,5,25,0.812702683343619,1.25,0.9995805025100708
dense_mlp_tanh_exact,5,50,0.9095781930823432,2.5,0.9995805025100708
dense_mlp_tanh_exact,5,100,1.1810664773319413,5.0,0.9995805025100708
dense_mlp_tanh_exact,6,1,0.27003245879951704,0.05,0.9995391964912416
dense_mlp_tanh_exact,6,5,0.5588164662966031,0.25,0.9995391964912416
dense_mlp_tanh_exact,6,10,0.6952805927423464,0.5,0.9995391964912416
dense_mlp_tanh_exact,6,25,0.8139066865483043,1.25,0.9995391964912416
dense_mlp_tanh_exact,6,50,0.9709271990521217,2.5,0.9995391964912416
dense_mlp_tanh_exact,6,100,1.3398926310981043,5.0,0.9995391964912416
dense_mlp_tanh_exact,7,1,0.2949359169972697,0.05,0.9995803236961364
dense_mlp_tanh_exact,7,5,0.5660340942923384,0.25,0.9995803236961364
dense_mlp_tanh_exact,7,10,0.6993612430999475,0.5,0.9995803236961364
dense_mlp_tanh_exact,7,25,0.8168189913128653,1.25,0.9995803236961364
dense_mlp_tanh_exact,7,50,0.9777797096935222,2.5,0.9995803236961364
dense_mlp_tanh_exact,7,100,1.2989459689387712,5.0,0.9995803236961364
dense_mlp_tanh_exact,8,1,0.3016816161273984,0.05,0.9996024966239928
dense_mlp_tanh_exact,8,5,0.5683055177090262,0.25,0.9996024966239928
dense_mlp_tanh_exact,8,10,0.7007824701442412,0.5,0.9996024966239928
dense_mlp_tanh_exact,8,25,0.81623818238298,1.25,0.9996024966239928
dense_mlp_tanh_exact,8,50,0.9774678890587054,2.5,0.9996024966239928
dense_mlp_tanh_exact,8,100,1.2927137216427342,5.0,0.9996024966239928
dense_mlp_tanh_exact,9,1,0.35027515484703464,0.05,0.9996629357337952
dense_mlp_tanh_exact,9,5,0.5806809352607651,0.25,0.9996629357337952
dense_mlp_tanh_exact,9,10,0.7060255164108552,0.5,0.9996629357337952
dense_mlp_tanh_exact,9,25,0.8193457364121145,1.25,0.9996629357337952
dense_mlp_tanh_exact,9,50,0.9688313459363214,2.5,0.9996629357337952
dense_mlp_tanh_exact,9,100,1.2111288272784342,5.0,0.9996629357337952
lista_sign_split,0,1,0.2877755525400677,0.05,0.4883214831352234
lista_sign_split,0,5,0.5458863517681125,0.25,0.4883214831352234
lista_sign_split,0,10,0.6770944804627681,0.5,0.4883214831352234
lista_sign_split,0,25,0.7972555558449804,1.25,0.4883214831352234
lista_sign_split,0,50,0.9065001205198954,2.5,0.4883214831352234
lista_sign_split,0,100,0.9732314682705444,5.0,0.4883214831352234
lista_sign_split,1,1,0.2748783416205134,0.05,0.4884637594223022
lista_sign_split,1,5,0.5417722668656288,0.25,0.4884637594223022
lista_sign_split,1,10,0.6712719676801736,0.5,0.4884637594223022
lista_sign_split,1,25,0.7902909445339091,1.25,0.4884637594223022
lista_sign_split,1,50,0.8970307992517863,2.5,0.4884637594223022
lista_sign_split,1,100,0.9589625746975986,5.0,0.4884637594223022
lista_sign_split,2,1,0.29082439902885165,0.05,0.488421082496643
lista_sign_split,2,5,0.5446898894259099,0.25,0.488421082496643
lista_sign_split,2,10,0.6728583597810076,0.5,0.488421082496643
lista_sign_split,2,25,0.7933472783095329,1.25,0.488421082496643
lista_sign_split,2,50,0.9038737678156455,2.5,0.488421082496643
lista_sign_split,2,100,0.9701189671212551,5.0,0.488421082496643
lista_sign_split,3,1,0.2689508958693353,0.05,0.488604187965393
lista_sign_split,3,5,0.5313065179519781,0.25,0.488604187965393
lista_sign_split,3,10,0.6616156480492037,0.5,0.488604187965393
lista_sign_split,3,25,0.7821954956321173,1.25,0.488604187965393
lista_sign_split,3,50,0.8950547364629823,2.5,0.488604187965393
lista_sign_split,3,100,0.9651248659588987,5.0,0.488604187965393
lista_sign_split,4,1,0.28106139443091965,0.05,0.4888677597045898
lista_sign_split,4,5,0.5371362786622308,0.25,0.4888677597045898
lista_sign_split,4,10,0.6656909423946813,0.5,0.4888677597045898
lista_sign_split,4,25,0.7841396937607688,1.25,0.4888677597045898
lista_sign_split,4,50,0.8973951638784976,2.5,0.4888677597045898
lista_sign_split,4,100,0.9679386101907199,5.0,0.4888677597045898
lista_sign_split,5,1,0.2779509902637215,0.05,0.4881190955638885
lista_sign_split,5,5,0.5363557429019532,0.25,0.4881190955638885
lista_sign_split,5,10,0.664830162447987,0.5,0.4881190955638885
lista_sign_split,5,25,0.7829599999404481,1.25,0.4881190955638885
lista_sign_split,5,50,0.8913432888969397,2.5,0.4881190955638885
lista_sign_split,5,100,0.9584600865681187,5.0,0.4881190955638885
lista_sign_split,6,1,0.3141602585053312,0.05,0.4884494841098785
lista_sign_split,6,5,0.5537638959311795,0.25,0.4884494841098785
lista_sign_split,6,10,0.6785424898493343,0.5,0.4884494841098785
lista_sign_split,6,25,0.7959731351824629,1.25,0.4884494841098785
lista_sign_split,6,50,0.9096319173993791,2.5,0.4884494841098785
lista_sign_split,6,100,0.9846392858074671,5.0,0.4884494841098785
lista_sign_split,7,1,0.29040040472994405,0.05,0.4882382750511169
lista_sign_split,7,5,0.5431788146279036,0.25,0.4882382750511169
lista_sign_split,7,10,0.670590155784062,0.5,0.4882382750511169
lista_sign_split,7,25,0.7889164123803678,1.25,0.4882382750511169
lista_sign_split,7,50,0.9012082127996889,2.5,0.4882382750511169
lista_sign_split,7,100,0.9700875586277393,5.0,0.4882382750511169
