benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
dysts,classical_koopman,dysts:Chua,0,dmd,ok,100,0.26365793114477365,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_0/rows.csv
dysts,classical_koopman,dysts:Chua,1,dmd,ok,100,0.22367572701581132,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_1/rows.csv
dysts,classical_koopman,dysts:Chua,2,dmd,ok,100,0.20772710260948016,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Chua/seed_2/rows.csv
dysts,classical_koopman,dysts:Dadras,0,dmd,ok,100,4.364074214665005,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_0/rows.csv
dysts,classical_koopman,dysts:Dadras,1,dmd,ok,100,4.3034926993045,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_1/rows.csv
dysts,classical_koopman,dysts:Dadras,2,dmd,ok,100,4.050480820417462,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Dadras/seed_2/rows.csv
dysts,classical_koopman,dysts:DequanLi,0,dmd,ok,100,4.345567003976662,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_0/rows.csv
dysts,classical_koopman,dysts:DequanLi,1,dmd,ok,100,4.108869962798286,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_1/rows.csv
dysts,classical_koopman,dysts:DequanLi,2,dmd,ok,100,4.1154382956188735,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_DequanLi/seed_2/rows.csv
dysts,classical_koopman,dysts:Hadley,0,dmd,ok,100,1.3975558157532588,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/dysts_Hadley/seed_0/rows.csv
