benchmark,source_family,system,seed,method,status,horizon,mse,finite_start_fraction,metric_protocol,source_file
multibasin,classical_koopman,claude:arrested_spiral,0,dmd,ok,100,3.1373962640285304,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_0/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,1,dmd,ok,100,3.053967884233549,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_1/rows.csv
multibasin,classical_koopman,claude:arrested_spiral,2,dmd,ok,100,3.3789970522937405,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_arrested_spiral/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,0,dmd,ok,100,3.1306592013488475,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,1,dmd,ok,100,2.9802428756031123,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_asymmetric_3,2,dmd,ok,100,2.8191278673808693,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_asymmetric_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,0,dmd,ok,100,2.323598691194291,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,1,dmd,ok,100,2.2230009536580617,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_hexagon_6,2,dmd,ok,100,2.206284682801943,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_hexagon_6/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,0,dmd,ok,100,5.636302141157821,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,1,dmd,ok,100,6.399552006605216,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_high_cross_3,2,dmd,ok,100,4.81284937225227,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_high_cross_3/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,0,dmd,ok,100,2.4428765120109297,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,1,dmd,ok,100,3.121618040843169,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_octagon_8,2,dmd,ok,100,2.6943718679618485,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_octagon_8/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,0,dmd,ok,100,3.046107871264741,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,1,dmd,ok,100,3.1789568457913173,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_pentagon_5,2,dmd,ok,100,2.586488576144902,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_pentagon_5/seed_2/rows.csv
multibasin,classical_koopman,claude:cal_square_4,0,dmd,ok,100,2.3816695666931476,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_0/rows.csv
multibasin,classical_koopman,claude:cal_square_4,1,dmd,ok,100,2.3812835543206594,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_1/rows.csv
multibasin,classical_koopman,claude:cal_square_4,2,dmd,ok,100,2.628156409176154,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_cal_square_4/seed_2/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,0,dmd,ok,100,0.7567724523028833,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_0/rows.csv
multibasin,classical_koopman,claude:duffing_triple_well,1,dmd,ok,100,0.5544230453278912,1.0,ordinary_through_h_mean_finite_starts,runs/classical_koopman/claude_duffing_triple_well/seed_1/rows.csv
