root_label,display,horizon,K,N,systems_with_iqm_ratio_lt_1,systems_with_iqm_ratio_n,sign_test_p
lista,LISTA,100,2.0,10,10.0,10.0,0.0009765625
lista,LISTA,500,5.0,10,10.0,10.0,0.0009765625
lista,LISTA,1000,4.0,10,10.0,10.0,0.0009765625
lista,LISTA,1500,4.0,10,10.0,10.0,0.0009765625
lista,LISTA,2000,4.0,10,10.0,10.0,0.0009765625
lista,LISTA,3000,7.0,10,10.0,10.0,0.0009765625
lista,LISTA,4000,4.0,10,10.0,10.0,0.0009765625
lista,LISTA,5000,4.0,10,10.0,10.0,0.0009765625
lista_bd,LISTA-BD,100,2.0,10,9.0,10.0,0.0107421875
lista_bd,LISTA-BD,500,2.0,10,9.0,10.0,0.0107421875
lista_bd,LISTA-BD,1000,3.0,10,9.0,10.0,0.0107421875
lista_bd,LISTA-BD,1500,3.0,10,10.0,10.0,0.0009765625
lista_bd,LISTA-BD,2000,3.0,10,10.0,10.0,0.0009765625
lista_bd,LISTA-BD,3000,4.0,10,10.0,10.0,0.0009765625
lista_bd,LISTA-BD,4000,3.0,10,10.0,10.0,0.0009765625
lista_bd,LISTA-BD,5000,3.0,10,9.0,10.0,0.0107421875
lista_sb,LISTA-SB,100,0.0,10,7.0,10.0,0.171875
lista_sb,LISTA-SB,500,0.0,10,6.0,10.0,0.376953125
lista_sb,LISTA-SB,1000,0.0,10,8.0,10.0,0.0546875
lista_sb,LISTA-SB,1500,0.0,10,9.0,10.0,0.0107421875
lista_sb,LISTA-SB,2000,0.0,10,9.0,10.0,0.0107421875
lista_sb,LISTA-SB,3000,0.0,10,8.0,10.0,0.0546875
lista_sb,LISTA-SB,4000,0.0,10,6.0,10.0,0.376953125
lista_sb,LISTA-SB,5000,0.0,10,5.0,10.0,0.623046875
sparse_mlp,Sparse MLP,100,2.0,10,10.0,10.0,0.0009765625
sparse_mlp,Sparse MLP,500,3.0,10,10.0,10.0,0.0009765625
sparse_mlp,Sparse MLP,1000,6.0,10,10.0,10.0,0.0009765625
sparse_mlp,Sparse MLP,1500,5.0,10,10.0,10.0,0.0009765625
sparse_mlp,Sparse MLP,2000,5.0,10,10.0,10.0,0.0009765625
sparse_mlp,Sparse MLP,3000,1.0,10,9.0,10.0,0.0107421875
sparse_mlp,Sparse MLP,4000,2.0,10,9.0,10.0,0.0107421875
sparse_mlp,Sparse MLP,5000,2.0,10,9.0,10.0,0.0107421875
sparse_mlp_bd,Sparse MLP-BD,100,7.0,10,9.0,10.0,0.0107421875
sparse_mlp_bd,Sparse MLP-BD,500,6.0,10,9.0,10.0,0.0107421875
sparse_mlp_bd,Sparse MLP-BD,1000,6.0,10,9.0,10.0,0.0107421875
sparse_mlp_bd,Sparse MLP-BD,1500,6.0,10,10.0,10.0,0.0009765625
sparse_mlp_bd,Sparse MLP-BD,2000,5.0,10,10.0,10.0,0.0009765625
sparse_mlp_bd,Sparse MLP-BD,3000,5.0,10,10.0,10.0,0.0009765625
sparse_mlp_bd,Sparse MLP-BD,4000,5.0,10,10.0,10.0,0.0009765625
sparse_mlp_bd,Sparse MLP-BD,5000,4.0,10,10.0,10.0,0.0009765625
dense_mlp_tanh,Dense MLP,100,,10,,,
dense_mlp_tanh,Dense MLP,500,,10,,,
dense_mlp_tanh,Dense MLP,1000,,10,,,
dense_mlp_tanh,Dense MLP,1500,,10,,,
dense_mlp_tanh,Dense MLP,2000,,10,,,
dense_mlp_tanh,Dense MLP,3000,,10,,,
dense_mlp_tanh,Dense MLP,4000,,10,,,
dense_mlp_tanh,Dense MLP,5000,,10,,,
