method,horizon,system,seed_iqm_mse,num_seeds
dmd,100,dysts:Chua,0.23168692025668838,3
dmd,100,dysts:Dadras,4.239349244795656,3
dmd,100,dysts:DequanLi,4.18995842079794,3
dmd,100,dysts:Hadley,1.2583887351146728,3
dmd,100,dysts:LuChenCheng,4.063478006988934,3
dmd,100,dysts:QiChen,2.988492470696446,3
dmd,100,dysts:Sakarya,1.0632772175640366,1
dmd,100,dysts:SanUmSrisuchinwong,4.031712722927196,3
dmd,100,dysts:ShimizuMorioka,3.4316612503874335,3
dmd,100,dysts:WangSun,3.0006602970997975,3
dmd,2000,dysts:Chua,4.77206167051786,3
dmd,2000,dysts:Dadras,2.897882560109757,3
dmd,2000,dysts:DequanLi,7.721577686692856,3
dmd,2000,dysts:Hadley,5.451589130834286,3
dmd,2000,dysts:LuChenCheng,4.163559731808799,3
dmd,2000,dysts:QiChen,3.175792283613595,3
dmd,2000,dysts:Sakarya,2.87927579035966,1
dmd,2000,dysts:SanUmSrisuchinwong,4.0296176703948445,3
dmd,2000,dysts:ShimizuMorioka,3.1530634124753054,3
dmd,2000,dysts:WangSun,3.6107929653409943,3
dmd,4000,dysts:Chua,5.101382577491848,3
dmd,4000,dysts:Dadras,2.8878398164961077,3
dmd,4000,dysts:DequanLi,5.49854827530723,3
dmd,4000,dysts:Hadley,4.88767809820945,3
dmd,4000,dysts:LuChenCheng,3.6282343586270716,3
dmd,4000,dysts:QiChen,3.128865840827647,3
dmd,4000,dysts:Sakarya,2.8462509912848333,1
dmd,4000,dysts:SanUmSrisuchinwong,3.683412443754842,3
dmd,4000,dysts:ShimizuMorioka,3.051362480115173,3
dmd,4000,dysts:WangSun,3.579421357321196,3
edmd_poly,100,dysts:Chua,0.3075998903361415,3
edmd_poly,100,dysts:Dadras,4.4587734537228725,3
edmd_poly,100,dysts:DequanLi,0.6456531120058879,3
edmd_poly,100,dysts:Hadley,0.23088833846228507,3
edmd_poly,100,dysts:LuChenCheng,8.13091894423546,3
edmd_poly,100,dysts:QiChen,1.4982685870957326,3
edmd_poly,100,dysts:Sakarya,0.859754455214692,1
edmd_poly,100,dysts:SanUmSrisuchinwong,1.8074050664974484,3
edmd_poly,100,dysts:ShimizuMorioka,4.072541140237328,3
edmd_poly,100,dysts:WangSun,1.161236593517471,3
edmd_poly,2000,dysts:Chua,4.544625255575,3
edmd_poly,2000,dysts:Dadras,2.8901056395399993,3
edmd_poly,2000,dysts:DequanLi,4.254249197249795,3
edmd_poly,2000,dysts:Hadley,4.115055642830977,3
edmd_poly,2000,dysts:LuChenCheng,6.645341288032096,3
edmd_poly,2000,dysts:QiChen,3.141111282086147,3
edmd_poly,2000,dysts:Sakarya,2.8004980797176535,1
edmd_poly,2000,dysts:SanUmSrisuchinwong,3.9318937172617203,3
edmd_poly,2000,dysts:ShimizuMorioka,3.5770595451204787,3
edmd_poly,2000,dysts:WangSun,3.35714119351247,3
edmd_poly,4000,dysts:Chua,4.153020844769954,3
edmd_poly,4000,dysts:Dadras,2.8843157285966132,3
edmd_poly,4000,dysts:DequanLi,3.550338316124647,3
edmd_poly,4000,dysts:Hadley,4.237179531849751,3
edmd_poly,4000,dysts:LuChenCheng,5.0416613332312155,3
edmd_poly,4000,dysts:QiChen,3.1111809807355244,3
edmd_poly,4000,dysts:Sakarya,2.8067062823258055,1
edmd_poly,4000,dysts:SanUmSrisuchinwong,3.6265497049815156,3
edmd_poly,4000,dysts:ShimizuMorioka,3.2673588034208643,3
edmd_poly,4000,dysts:WangSun,3.449524218992948,3
gmm_hard,100,dysts:Chua,0.662151001691861,3
gmm_hard,100,dysts:Dadras,28.466899425657605,3
gmm_hard,100,dysts:DequanLi,0.17671196343822534,3
gmm_hard,100,dysts:Hadley,0.10097349921321691,3
gmm_hard,100,dysts:LuChenCheng,0.1834431420147241,3
gmm_hard,100,dysts:QiChen,1.2773164989038241,3
gmm_hard,100,dysts:Sakarya,1.6686682813024702,3
gmm_hard,100,dysts:SanUmSrisuchinwong,4.162696795181154,3
gmm_hard,100,dysts:ShimizuMorioka,7.8170919758403565,3
gmm_hard,100,dysts:WangSun,61.683125633931645,3
gmm_hard,2000,dysts:Chua,525946306967.4255,3
gmm_hard,2000,dysts:Dadras,3731115853925.057,3
gmm_hard,2000,dysts:DequanLi,11.85097673463919,3
gmm_hard,2000,dysts:Hadley,6.361909808400511e+17,3
gmm_hard,2000,dysts:LuChenCheng,5506.339947466204,3
gmm_hard,2000,dysts:QiChen,4.833115227478027,3
gmm_hard,2000,dysts:Sakarya,5.129473398566142,3
gmm_hard,2000,dysts:SanUmSrisuchinwong,7.766469327704574e+19,3
gmm_hard,2000,dysts:ShimizuMorioka,427039.16217350354,3
gmm_hard,2000,dysts:WangSun,769617346930.7638,3
gmm_hard,4000,dysts:Chua,3.732564214193583e+24,3
gmm_hard,4000,dysts:Dadras,4.8286929247217745e+25,3
gmm_hard,4000,dysts:DequanLi,98.85706330751441,3
gmm_hard,4000,dysts:Hadley,1.8769867743305433e+44,3
gmm_hard,4000,dysts:LuChenCheng,55164459.288638465,3
gmm_hard,4000,dysts:QiChen,4.65351915983419,3
gmm_hard,4000,dysts:Sakarya,167475022643348.0,3
gmm_hard,4000,dysts:SanUmSrisuchinwong,4.3237869336401505e+45,3
gmm_hard,4000,dysts:ShimizuMorioka,6292533.395643518,3
gmm_hard,4000,dysts:WangSun,2.9169891395444393e+23,3
gmm_soft,100,dysts:Chua,0.6606528808176203,3
gmm_soft,100,dysts:Dadras,8.265891788607219,3
gmm_soft,100,dysts:DequanLi,0.2060494586729523,3
gmm_soft,100,dysts:Hadley,0.11793073519322378,3
