method,display,horizon,cross_system_seed_iqm_mean,cross_system_seed_iqm_median,num_systems
dmd,DMD,100,2.84986652866288,3.2161607737436153,10
dmd,DMD,2000,4.185521290214796,3.820205317867919,10
dmd,DMD,4000,3.8292996239435397,3.603827857974134,10
edmd_poly,Polynomial EDMD,100,2.317303958132532,1.329752590306602,10
edmd_poly,Polynomial EDMD,2000,3.9257080840926335,3.7544766311910998,10
edmd_poly,Polynomial EDMD,4000,3.612783574502884,3.4999312675587975,10
gmm_hard,GMM local linear,100,10.619907821717508,1.4729923901031472,10
gmm_hard,GMM local linear,2000,7.830088928456571e+18,262973367003.29382,10
gmm_hard,GMM local linear,4000,4.511485611073205e+44,1.4584945706095948e+23,10
gmm_soft,Soft-gated GMM local linear,100,5.770030610539076,1.3233385556435928,10
gmm_soft,Soft-gated GMM local linear,2000,29890690949008.45,5415.497905168674,10
gmm_soft,Soft-gated GMM local linear,4000,4.057339125389409e+34,58981475788.232285,10
kmeans_hard,$k$-means local linear,100,2.289563486084214,0.6951250486236207,10
kmeans_hard,$k$-means local linear,2000,1.5163949686230702e+150,6.539212791949263,10
kmeans_hard,$k$-means local linear,4000,3.17433137732488e+140,6.999750923026853,9
local_edmd_poly_kmeans,Local polynomial EDMD,100,0.0005005032778234641,7.143678411565706e-07,10
local_edmd_poly_kmeans,Local polynomial EDMD,2000,2.1705718905105225,2.479796024268887,10
local_edmd_poly_kmeans,Local polynomial EDMD,4000,2.966046746017425,4.219547284270892,10
local_rbf_edmd_kmeans,Local RBF-EDMD,100,4282612672247210.5,0.0005578964231783103,10
local_rbf_edmd_kmeans,Local RBF-EDMD,2000,5630740174610872.0,3.063021190830735,10
local_rbf_edmd_kmeans,Local RBF-EDMD,4000,2.6891510907128363e+280,4.488395953729903,10
rbf_dictionary_edmd,RBF-dictionary EDMD,100,0.8897130537993124,0.4801159340862682,10
rbf_dictionary_edmd,RBF-dictionary EDMD,2000,2.8416445258383662,2.818231369778563,10
rbf_dictionary_edmd,RBF-dictionary EDMD,4000,2.9090761444492856,2.8804916111267787,10
