method,display,horizon,cross_system_seed_iqm_mean,cross_system_seed_iqm_median,num_systems
dmd,DMD,100,2.575054869519175,2.7529554736053155,15
dmd,DMD,500,2.141549112518055,2.1110220031405493,15
dmd,DMD,1000,1.7012602585685057,1.7917061433237322,15
edmd_poly,Polynomial EDMD,100,0.8639099011748134,0.7670984410844864,15
edmd_poly,Polynomial EDMD,500,0.9676143197139258,0.8787737430188254,15
edmd_poly,Polynomial EDMD,1000,0.8868501649889756,0.8526821337080975,15
gmm_hard,GMM local linear,100,1.6455014418367357,1.6162694256669454,15
gmm_hard,GMM local linear,500,3.57042521863509,3.4021753118344606,15
gmm_hard,GMM local linear,1000,3.925972583016664,3.927909640855131,15
gmm_soft,Soft-gated GMM local linear,100,1.6627589395687232,1.8111813639400005,15
gmm_soft,Soft-gated GMM local linear,500,3.712116547213798,4.17828718597362,15
gmm_soft,Soft-gated GMM local linear,1000,4.074772814947221,4.240897031502332,15
kmeans_hard,$k$-means local linear,100,1.4010164259122213,1.4300496109025345,15
kmeans_hard,$k$-means local linear,500,3.043904698615249,1.844873170964337,15
kmeans_hard,$k$-means local linear,1000,137.65908054905853,1.8964848219311714,15
rbf_dictionary_edmd,RBF-dictionary EDMD,100,0.6600718553708786,0.5350402557793162,15
rbf_dictionary_edmd,RBF-dictionary EDMD,500,0.8080428793940868,0.6770376734503966,15
rbf_dictionary_edmd,RBF-dictionary EDMD,1000,0.7507737065513482,0.6142523413763523,15
