root_label,label,horizon,K_systems_better,K_systems_better_ttest,N_systems_tested,median_diff_log10,mean_raw,iqm_raw,log10_iqr_systems
lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,100,15,15,15,-1.8254030753182753,0.04070701002243104,0.04070701002243104,0.7263369989185944
lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,500,15,14,15,-1.8918080297262567,0.14448121488620966,0.14448121488620966,1.333217381472986
lista_dense_signsplit_p256_hardinit_basin_partition,LISTA,1000,15,14,15,-1.9193025901283218,0.16614236385489453,0.16614236385489453,1.5276151034722276
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,100,15,15,15,-1.6972883894984236,0.041064799392257684,0.041064799392257684,0.6579205624681319
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,500,15,14,15,-1.8280092853681011,0.11841379146679257,0.11841379146679257,0.9886769504115547
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,1000,15,15,15,-1.8715850982697664,0.13466424480152667,0.13466424480152667,1.152837984103079
lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,100,15,15,15,-1.739524357513875,0.03870329164728029,0.03870329164728029,0.6967765857398851
lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,500,15,15,15,-1.7414050405924535,0.1137248610930761,0.1137248610930761,1.005335022579252
lista_dense_softblock_signsplit_p256_hardinit_basin_partition,LISTA-SB,1000,15,15,15,-1.7567051478250435,0.12997841420749734,0.12997841420749734,1.1615072815697276
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",100,15,15,15,-1.8328061899154502,0.03974911229874811,0.03974911229874811,1.0316211524148167
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",500,15,15,15,-2.100294124987985,0.10236387777508099,0.10236387777508099,1.3947644325974617
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",1000,15,15,15,-2.137501523416191,0.11687018383199176,0.11687018383199176,1.573116666251579
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,100,15,15,15,-1.6633610279607398,0.03968628918630111,0.03968628918630111,1.1165527512904014
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,500,15,15,15,-1.9036025977222453,0.09404628922237034,0.09404628922237034,1.6125466819512773
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,1000,15,15,15,-1.6890406028123657,0.10668837668878643,0.10668837668878643,1.9147113551898176
