root_label,label,metric,system,p_raw,p_holm,median_diff
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_arrested_spiral,0.849609375,1.0,0.1251670830539743
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_asymmetric_3,0.8203125,1.0,0.040544608459924594
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_hexagon_6,0.875,1.0,0.07266251055892625
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_high_cross_3,0.990234375,1.0,0.04887166476144245
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_octagon_8,0.1875,1.0,-0.015275959563104898
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_pentagon_5,0.986328125,1.0,0.0727938357757405
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_cal_square_4,0.75,1.0,0.0
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_checkerboard_potential,1.0,1.0,0.15234698970021843
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_duffing_triple_well,1.0,1.0,1.0989098675331044
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_snic_multi,1.0,1.0,0.6738217253363026
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_transition_routes_4,0.2158203125,1.0,-0.005574977711278699
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_var_depth_gradient_4,0.990234375,1.0,0.056003152610692844
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_var_diamond_4,0.5,1.0,0.0
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,claude_var_l_shape_5,0.9677734375,1.0,0.19387495605689273
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,gated_local_linear,1.0,1.0,1.0541955441081254
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,gated_transfer_linear,1.0,1.0,1.6044728645443669
lista_blockdiag_signsplit_hardinit_basin_partition,SLK-BD,HSgivenB,multiwell_strong_transition,1.0,1.0,0.6942146913804057
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_arrested_spiral,0.1796875,0.8984375,-0.08866749740359711
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_asymmetric_3,0.109375,0.765625,-0.0295757545269755
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_hexagon_6,0.005859375,0.064453125,-0.17633077341744247
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_high_cross_3,0.0009765625,0.0166015625,-0.008779848856166249
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_octagon_8,0.0009765625,0.0166015625,-0.04118768445087435
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_pentagon_5,0.24609375,0.984375,-0.06115708453275995
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_cal_square_4,0.75,1.0,0.0
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_checkerboard_potential,0.0009765625,0.0166015625,-0.2053057892514195
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_duffing_triple_well,0.0009765625,0.0166015625,-1.994337120656648
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_snic_multi,0.2783203125,0.984375,-0.0713975891185763
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_transition_routes_4,0.1162109375,0.765625,-0.020774004125472
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_var_depth_gradient_4,0.080078125,0.640625,-0.029185133971699247
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_var_diamond_4,0.5,1.0,0.0
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,claude_var_l_shape_5,0.052734375,0.474609375,-0.28011298579605837
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,gated_local_linear,0.0009765625,0.0166015625,-0.5890644272263915
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,gated_transfer_linear,0.0322265625,0.322265625,-0.09814170264322475
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,SLK-SB,HSgivenB,multiwell_strong_transition,0.0009765625,0.0166015625,-0.18319499303603148
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_arrested_spiral,0.787109375,1.0,0.018591657420779895
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_asymmetric_3,0.248046875,1.0,-0.0109030450294056
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_hexagon_6,0.005859375,0.099609375,-0.23525547552277568
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_high_cross_3,0.615234375,1.0,0.0002926756753452997
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_octagon_8,0.1162109375,1.0,-0.024953902788647248
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_pentagon_5,0.34765625,1.0,-0.0023448921191261962
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_cal_square_4,0.5,1.0,0.0
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_checkerboard_potential,0.2158203125,1.0,-0.017449362624649356
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_duffing_triple_well,0.998046875,1.0,0.7065454215886313
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_snic_multi,0.751953125,1.0,0.12621369586833375
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_transition_routes_4,0.5771484375,1.0,-0.005971295893843749
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_var_depth_gradient_4,0.58984375,1.0,0.000767332770753304
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",HSgivenB,claude_var_diamond_4,0.5,1.0,0.0
