horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_mean,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Oracle basin labels,oracle_basin_local_centered,208.03504500423952,208.03504500423952,0.08018721151935528,219,15,0.04200245735813199,10,15,13,15,0.003692626953125,219,6.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Support family,family_local_centered,1.4486737124432165,1.4486737124432165,0.23040452818628895,219,15,0.10922823197498552,10,15,13,15,0.003692626953125,219,6.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Latent clusters,latent_kmeans_local_centered,7.579933364272103,7.579933364272103,1.2009355482151853,219,15,0.36173078562192695,3,15,11,15,0.05923461914062499,219,6.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Random matched,random_count_matched_local_centered,0.469838345223482,0.469838345223482,0.4772004485312504,219,15,0.43972531486289074,14,15,14,15,0.00048828125,219,6.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Oracle basin labels,oracle_basin_local_centered,93.58539364290984,93.58539364290984,0.04933370045263681,204,14,0.033074549543938875,10,15,13,15,0.003692626953125,204,21.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Support family,family_local_centered,0.13243068483747555,0.13243068483747555,0.06263246244360014,204,14,0.03964703659779835,12,15,14,15,0.00048828125,204,21.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Latent clusters,latent_kmeans_local_centered,1.490945327654001,1.490945327654001,0.43961354505825906,204,14,0.19756472380563003,3,15,11,15,0.05923461914062499,204,21.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Random matched,random_count_matched_local_centered,0.4564258087847976,0.4564258087847976,0.4483264504547802,204,14,0.46401774440021887,13,15,13,15,0.003692626953125,204,21.0,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Oracle basin labels,oracle_basin_local_centered,0.03295577057917916,0.03295577057917916,0.011613553348891244,225,15,0.001963975578570311,15,15,15,15,3.0517578125e-05,225,,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Support family,family_local_centered,2.1756000830263074,2.1756000830263074,0.16416620073592197,225,15,0.03163849630257027,11,15,13,15,0.003692626953125,225,,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Latent clusters,latent_kmeans_local_centered,2.825675961941494,2.825675961941494,0.14553235770979442,225,15,0.014897839055607518,11,15,11,15,0.05923461914062499,225,,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Random matched,random_count_matched_local_centered,0.8611593475909011,0.8611593475909011,0.8893259175320265,225,15,0.886200562058787,13,15,14,15,0.00048828125,225,,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Oracle basin labels,oracle_basin_local_centered,0.030586632014519173,0.030586632014519173,0.004202934001586869,210,14,0.0015131895772821026,14,15,14,15,0.00048828125,210,15.0,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Support family,family_local_centered,0.1353515567003047,0.1353515567003047,0.04396923221775097,210,14,0.01291885800487368,12,15,14,15,0.00048828125,210,15.0,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Latent clusters,latent_kmeans_local_centered,0.3675037431392178,0.3675037431392178,0.05044959921250892,210,14,0.012354618567925307,12,15,12,15,0.017578125,210,15.0,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,deep,deep,Random matched,random_count_matched_local_centered,0.8865974606929701,0.8865974606929701,0.9421665576630952,210,14,0.9489799910113361,12,15,13,15,0.003692626953125,210,15.0,,,
100,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Oracle basin labels,oracle_basin_local_centered,2568129015388.3105,2568129015388.3105,0.002351112645380397,200,15,0.0024364611511960943,8,15,12,15,0.017578125,200,5.0,20.0,,
100,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Support family,family_local_centered,1.1982021236322604,1.1982021236322604,0.0543103752718079,220,15,0.023828160625510235,8,15,13,15,0.003692626953125,220,5.0,,,
100,"Sparse MLP, BD",mlp_sparse_blockdiag_hardinit_basin_partition_control,all,all,Latent clusters,latent_kmeans_local_centered,0.2409201586524553,0.2409201586524553,0.01406809543512617,220,15,0.008128288314670488,13,15,14,15,0.00048828125,220,5.0,,,
