horizon,model,root_label,subset,depth_stratum,selector,rollout_mode,finite_ratio_iqm,finite_ratio_global_iqm,finite_ratio_n,finite_ratio_n_systems,censored_log10_iqm_ratio,K,N,sign_test_iqm_in_direction,sign_test_iqm_total,sign_test_iqm_p,censor_finite_finite,censor_missing_row_neutral,censor_routed_invalid_global_finite_loss,censor_routed_finite_global_invalid_win,censor_both_invalid_neutral
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Support family,family_local_centered,0.21233697243675728,0.23785650149680665,248,17,0.1121141337380598,10,17,15,17,0.0011749267578125,248,7.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Basin labels,oracle_basin_local_centered,0.12689767205553995,0.09844402257030614,248,17,0.04544811445690171,11,17,14,17,0.0063629150390625,248,7.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Latent clusters,latent_kmeans_local_centered,1.30107166782731,1.5178354720738174,248,17,0.33359589133333906,3,17,12,17,0.0717315673828125,248,7.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,all,all,Random matched,random_count_matched_local_centered,0.46963123700463755,0.48178479683299785,248,17,0.44810212052102133,16,17,16,17,0.0001373291015625,248,7.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Support family,family_local_centered,0.0643968421336699,0.06810621431789865,233,16,0.04007060402365002,13,17,16,17,0.0001373291015625,233,22.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Basin labels,oracle_basin_local_centered,0.11691090247219402,0.06467866353753159,233,16,0.03564214577504767,11,17,14,17,0.0063629150390625,233,22.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Latent clusters,latent_kmeans_local_centered,0.30843716649848135,0.4720086193839075,233,16,0.16486853104672589,3,17,12,17,0.0717315673828125,233,22.0,,,
100,LISTA-SB (p64),lista_dense_softblock_signsplit_p64_hardinit_basin_partition,deep,deep,Random matched,random_count_matched_local_centered,0.4500800776981243,0.46683181763284354,233,16,0.47609031187641165,14,17,15,17,0.0011749267578125,233,22.0,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Support family,family_local_centered,0.15576765029212286,0.1590921357731356,255,17,0.031207361513939148,12,17,15,17,0.0011749267578125,255,,,,
100,LISTA-BD,lista_blockdiag_signsplit_hardinit_basin_partition,all,all,Basin labels,oracle_basin_local_centered,0.0069616621051211865,0.016016780910266735,254,17,0.002276252859818795,16,17,16,17,0.0001373291015625,254,,1.0,,
