root,display,depth,support_gated_k_iqm,support_gated_k_std,support_gated_k_winrate,support_gated_k_n,support_local_centered_iqm,support_local_centered_std,support_local_centered_winrate,support_local_centered_n,family_local_centered_iqm,family_local_centered_std,family_local_centered_winrate,family_local_centered_n
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,LISTA-SB,all,0.25091457272897183,76775071802.7433,0.92,75,0.29836394628119084,1.2646416662953073,0.9466666666666667,75,0.11369249307461744,5495696505268.866,0.7466666666666667,75
lista_dense_softblock_signsplit_p64_hardinit_basin_partition,LISTA-SB,deep,0.2605200298397827,21484050731.72556,0.9230769230769231,65,0.25306825964848323,0.3462129801320224,0.9846153846153847,65,0.03152477779479523,282379048.03483444,0.7692307692307693,65
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,all,0.7762039243470039,0.45593531975083107,0.7391304347826086,23,0.7248214107951285,0.3442398081140773,0.782608695652174,23,0.0043474963403426345,1.5267731493955423e+23,0.8909090909090909,55
lista_blockdiag_signsplit_hardinit_basin_partition,LISTA-BD,deep,0.7026070075905683,0.3612270560280961,0.7894736842105263,19,0.6905945505778549,0.3532081529468921,0.7894736842105263,19,0.0006000068321605933,9.920430471492852e+21,0.9333333333333333,45
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,all,0.9703330439185521,0.3803456501964081,0.5384615384615384,13,0.7904354336846833,0.3502131693220035,0.7692307692307693,13,0.004525396617717107,2.1242515706437173,0.92,25
mlp_sparse_hardinit_basin_partition_control,Sparse MLP,deep,0.9264709113372285,0.38168316835130095,0.6153846153846154,13,0.839468158523171,0.4060777852086981,0.6923076923076923,13,0.0012542092992960795,2.5405635809477842,0.9166666666666666,24
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",all,0.978894052964959,0.2612233882355998,0.5454545454545454,11,0.8370285431071529,0.3019143437161341,0.8181818181818182,11,0.0004176439996150026,51856.125899568106,0.9166666666666666,24
mlp_sparse_blockdiag_hardinit_basin_partition_control,"Sparse MLP, BD",deep,0.9835513653984354,0.3136537909810759,0.5,10,0.8848000981519352,0.26273199853682117,0.7,10,3.962336886408637e-05,41636.05590280863,0.9090909090909091,22
mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,all,0.8950534947142039,0.4035080583857711,0.4715447154471545,123,0.9690234479223625,1540.3560602108917,0.36585365853658536,123,896.0574957640663,8992777.248506932,0.2012987012987013,154
mlp_zero_sparse_hardinit_basin_partition_control,Dense MLP,deep,0.9069301599698018,0.41313798507307786,0.4336283185840708,113,0.9776474848301688,376.6227873779203,0.34513274336283184,113,809.7818529789175,7223012.985590991,0.19444444444444445,144
