model,period,route_target_iqm,route_target_mean,route_target_std_systems,fallback_iqm,fallback_mean,mse_ratio_iqm,mse_ratio_mean,mse_ratio_q25_systems,mse_ratio_q75_systems,mse_ratio_global_iqm,n_systems,n_rows,K,N
LISTA,1,0.8456903564829755,0.8456903564829755,0.2858607228337779,0.1543015310188068,0.1543015310188068,0.08580736151092576,0.08580736151092576,0.0525697881620445,0.09975194391686706,0.07865348433105705,12,5940,12,12
LISTA,10,0.8473417888082598,0.8473417888082598,0.24703159005383588,0.15265261083331708,0.15265261083331708,0.0289551736979152,0.0289551736979152,0.015070182753281966,0.024124176818119052,0.02134825963975108,12,5940,12,12
LISTA-SB,1,0.8119379571234654,0.8119379571234654,0.3224314812947837,0.18806204287653464,0.18806204287653464,0.12514664623052854,0.12514664623052854,0.08463042588049625,0.14217544522322229,0.11924708622936622,12,5940,12,12
LISTA-SB,10,0.8219586910005243,0.8219586910005243,0.23741273760522327,0.1780413089994756,0.1780413089994756,0.03583413442077641,0.03583413442077641,0.026893255739425678,0.03474810770318816,0.03276298317188832,12,5940,12,12
LISTA-BD,1,0.8403465847531923,0.8403465847531923,0.25863035977651816,0.15964574465279677,0.15964574465279677,0.15353307228182095,0.15353307228182095,0.08796387193976352,0.19968379205321335,0.14403559577806632,12,5940,12,12
LISTA-BD,10,0.8297615855140554,0.8297615855140554,0.2372481849830482,0.17023070985083613,0.17023070985083613,0.040906035960120095,0.040906035960120095,0.024302333188175908,0.04613384234503663,0.03753874870939374,12,5940,12,12
"Sparse MLP, BD",1,0.7854513163674456,0.7854513163674456,0.30524709754691776,0.2145348640341311,0.2145348640341311,0.07594510423022104,0.07594510423022104,0.03283734847535738,0.08921820020968943,0.07299888526967968,12,5892,12,12
"Sparse MLP, BD",10,0.8280746661890391,0.8280746661890391,0.24764766854778653,0.17192533381096076,0.17192533381096076,0.023924354650063692,0.023924354650063692,0.009012934593157601,0.02559669004836689,0.01843933499209729,12,5892,12,12
Sparse MLP,1,0.8098796831249286,0.8098796831249286,0.2857085624883542,0.19009138168988624,0.19009138168988624,0.07254778372208821,0.07254778372208821,0.0378889662044121,0.08119991841260674,0.0644603787431974,12,5940,12,12
Sparse MLP,10,0.8227460596402647,0.8227460596402647,0.2707707622452246,0.17723665606769987,0.17723665606769987,0.022582394698309152,0.022582394698309152,0.008710361835447274,0.022648652463195345,0.01654204446341303,12,5940,12,12
Dense MLP,1,0.7425248723472282,0.7425248723472282,0.33798448990197777,0.2509337404870355,0.2509337404870355,0.2287911110194576,0.2287911110194576,0.09701690967709331,0.2851775242461019,0.2508113545576023,12,5940,12,12
Dense MLP,10,0.84424782639399,0.84424782639399,0.26675287622437005,0.15164173416828536,0.15164173416828536,0.05215931553478595,0.05215931553478595,0.015695239484670796,0.04820708735196837,0.06776985783921911,12,5940,12,12
