model,system,metric,step,value,metrics_file
LISTA,dysts_Chua,eval/final_error,4000,1.904579997062683,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,4500,1.9440531730651855,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,5000,103794763366400.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,5500,1.8379521369934082,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,7000,3.477302074432373,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,7500,35503060.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,8000,72655978496.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,8500,200208203776.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,9000,1.8019227981567383,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,9500,1.849816083908081,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,10000,1.9541492462158203,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,10500,1.8665159940719604,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,11000,393308864512.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,11500,1.6477255821228027,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,12000,8249432.5,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,12500,1.8366303443908691,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,13000,762329825280.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,13500,603369018228736.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,14000,1.969983458518982,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,14500,140806389760.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,15000,14432258228224.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,15500,2818460352512.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,16000,2.0366311073303223,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,16500,151678064.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,17000,30983886848.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,17500,184602542080.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,18000,1.774774193763733,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,18500,57172451328.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,19000,2364160000.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
LISTA,dysts_Chua,eval/final_error,19500,2113610752.0,/network/scratch/l/lia/skae/dysts_dt30_basinblock_p256_seq10_100k_20260430/dysts_dt30_basinblock_p256_seq10_100k/lista/dysts_Chua/dt_0p0085424237372876636/seed_0/20260430-101352/metrics_history.jsonl
