system_key,blockdiag_hsb,blockdiag_u_exact,blockdiag_hfb,blockdiag_own_base,blockdiag_freeze_base,dense_p64_hsb,dense_p64_u_exact,dense_p64_hfb,dense_p64_own_base,dense_p64_freeze_base,sparse_mlp_hsb,sparse_mlp_u_exact,sparse_mlp_hfb,sparse_mlp_own_base,sparse_mlp_freeze_base
multiwell_strong_transition,3.7448,0.1262,0.4063,6.4748,0.1551,2.2881,0.3874,0.4708,1.7719,0.3660,3.1695,0.1776,0.0452,1.5779,0.2431
gated_local_linear,2.3637,0.3462,0.0000,0.9422,0.1107,0.7210,0.7624,0.0000,0.9770,0.2969,1.2470,0.6014,0.0000,1.0060,0.0942
gated_transfer_linear,3.6816,0.1321,0.0000,1.3430,0.1246,1.9776,0.4440,0.0000,3.0009,0.6037,2.7844,0.1936,0.0000,1.1570,0.2880
claude:arrested_spiral,0.1640,0.9797,0.0000,0.7889,0.0167,0.0776,0.9893,0.0000,0.9967,3.1043,0.0890,0.9889,0.0000,1.0003,0.0279
claude:cal_asymmetric_3,0.0000,1.0000,0.0000,0.9226,0.0151,0.0000,1.0000,0.0000,1.0000,0.1532,0.4229,0.9201,0.0000,1.0010,0.6203
claude:cal_high_cross_3,0.2283,0.7839,0.0000,0.8861,0.1608,0.0042,0.9998,0.0000,1.1104,0.1311,0.0077,0.9995,0.0000,0.9819,0.2421
claude:cal_hexagon_6,0.6570,0.9516,0.0166,1.0431,0.1278,0.2117,0.9833,0.0000,0.9843,0.0830,0.2092,0.9884,0.0190,0.9958,0.1103
claude:cal_octagon_8,0.0081,0.9974,0.0000,1.0003,0.0227,0.0000,1.0000,0.0000,1.0011,0.0827,0.0119,0.9929,0.0000,0.9879,0.8119
claude:cal_pentagon_5,0.1663,0.9793,0.0000,0.9565,0.0344,0.3443,0.9128,0.0000,1.0015,0.0535,0.0487,0.9944,0.0000,0.9974,0.2032
claude:cal_square_4,0.0000,1.0000,0.0000,1.0183,0.0161,0.0000,1.0000,0.0000,1.0000,0.0807,0.0000,1.0000,0.0000,1.0135,0.1189
claude:checkerboard_potential,1.3934,0.6655,0.3567,9.2855,0.3632,1.0415,0.6981,0.2059,3.5372,0.8637,1.3118,0.6749,0.1520,1.2138,2.5211
claude:duffing_triple_well,8.9318,0.0020,0.9381,92.8411,2.8026,5.9585,0.0223,0.0871,30.1277,4.4206,8.1532,0.0035,0.0000,247.8659,8.9061
claude:snic_multi,1.0380,0.6202,0.0000,0.8389,0.7008,0.1797,0.9049,0.0000,0.9755,0.8365,0.6238,0.7283,0.0000,0.9776,0.5649
claude:transition_routes_4,0.0835,0.9774,0.0000,0.8820,0.1509,0.0136,0.9975,0.0087,0.9655,0.0288,0.0414,0.9921,0.0000,1.0031,0.9131
claude:var_depth_gradient_4,0.0179,0.9982,0.0027,1.0187,0.0179,0.0122,0.9988,0.0032,0.9998,0.0450,0.1063,0.9867,0.0000,0.9975,0.1420
claude:var_diamond_4,0.0000,1.0000,0.0000,0.9545,0.1357,0.0000,1.0000,0.0000,0.9920,0.2616,0.0000,1.0000,0.0000,0.9991,0.9748
claude:var_l_shape_5,0.4486,0.9188,0.0060,9.7345,0.2036,0.6888,0.7737,0.0000,1.2900,0.0044,0.3398,0.9448,0.0000,1.0312,1.3915
