benchmark,condition,model,split,horizon,latent_dim,sparsity_coefficient,metric_name,mean,std,ci95_low,ci95_high,n,bootstrap_resamples
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,avg_active_per_coord_1e2,1.0,0.0,1.0,1.0,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,avg_active_per_coord_1e3,1.0,0.0,1.0,1.0,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,avg_active_per_coord_1e4,14.875,0.0,14.875,14.875,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,effective_density_1e2,0.0625,0.0,0.0625,0.0625,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,effective_density_1e3,0.0625,0.0,0.0625,0.0625,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,effective_density_1e4,0.9296875,0.0,0.9296875,0.9296875,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,inference_time_seconds,0.00035971682518720627,0.0,0.00035971682518720627,0.00035971682518720627,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,k_l0_exact,0.0,0.0,0.0,0.0,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,k_l1,16.156776428222656,0.0,16.156776428222656,16.156776428222656,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,k_max_abs,1.0008718967437744,0.0,1.0008718967437744,1.0008718967437744,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,spectral_radius,1.0015205144882202,0.0,1.0015205144882202,1.0015205144882202,1,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,valid_prediction_never_crossed,0.0,0.0,0.0,0.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,0,16,0.0,valid_prediction_time,1.0,0.0,1.0,1.0,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,1,16,0.0,max_abs_error,2.4150519371032715,0.2270228193921724,2.2545225620269775,2.5755813121795654,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,1,16,0.0,nrmse,0.9906652512053216,0.004253161091002655,0.9876578121563948,0.9936726902542483,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,1,16,0.0,power_spectrum_error,0.9422105550765991,0.010995607014310122,0.9344354867935181,0.9499856233596802,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,1,16,0.0,relative_l2,0.9906651973724365,0.00425320707062836,0.9876577258110046,0.9936726689338684,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,1,16,0.0,temporal_corr,0.1742533395229116,0.06948207043154528,0.12512209634988464,0.22338458269593858,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,autocorr_error,0.3888114243745804,0.018068417176893038,0.3760351240634918,0.40158772468566895,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,max_abs_error,2.7096792459487915,0.2753674462702904,2.514965057373047,2.904393434524536,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,nrmse,0.9949093135463458,0.000638904289100354,0.9944575399909938,0.9953610871016979,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,power_spectrum_error,0.9433265030384064,0.010254201802154986,0.9360756874084473,0.9505773186683655,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,relative_l2,0.9949093461036682,0.0006388619297281317,0.9944576025009155,0.9953610897064209,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,10,16,0.0,temporal_corr,0.12172449403498758,0.021263986102116647,0.1066885852671244,0.13676040280285076,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,autocorr_error,0.21265338361263275,0.049716865045359965,0.1774982511997223,0.2478085160255432,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,max_abs_error,2.6659374237060547,0.2135071680116989,2.514965057373047,2.8169097900390625,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,nrmse,0.9904019386596354,0.0032505607632995264,0.9881034451012475,0.9927004322180235,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,power_spectrum_error,0.9403417706489563,0.011737307254404835,0.9320422410964966,0.948641300201416,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,relative_l2,0.9904019236564636,0.003250533544554191,0.988103449344635,0.9927003979682922,2,2000
lorenz96,D64_F8.0_obs1.0_noise0.0,dense_kae,test,5,16,0.0,temporal_corr,0.1876519030408334,0.04515824037714102,0.15572020504370482,0.21958360103796196,2,2000
